STATE,COUNTY,fips,CTYNAME,POPESTIMATE2019
1,0,01000,Alabama,4903185
1,1,01001,Autauga County,55869
1,3,01003,Baldwin County,223234
1,5,01005,Barbour County,24686
1,7,01007,Bibb County,22394
1,9,01009,Blount County,57826
1,11,01011,Bullock County,10101
1,13,01013,Butler County,19448
1,15,01015,Calhoun County,113605
1,17,01017,Chambers County,33254
1,19,01019,Cherokee County,26196
1,21,01021,Chilton County,44428
1,23,01023,Choctaw County,12589
1,25,01025,Clarke County,23622
1,27,01027,Clay County,13235
1,29,01029,Cleburne County,14910
1,31,01031,Coffee County,52342
1,33,01033,Colbert County,55241
1,35,01035,Conecuh County,12067
1,37,01037,Coosa County,10663
1,39,01039,Covington County,37049
1,41,01041,Crenshaw County,13772
1,43,01043,Cullman County,83768
1,45,01045,Dale County,49172
1,47,01047,Dallas County,37196
1,49,01049,DeKalb County,71513
1,51,01051,Elmore County,81209
1,53,01053,Escambia County,36633
1,55,01055,Etowah County,102268
1,57,01057,Fayette County,16302
1,59,01059,Franklin County,31362
1,61,01061,Geneva County,26271
1,63,01063,Greene County,8111
1,65,01065,Hale County,14651
1,67,01067,Henry County,17205
1,69,01069,Houston County,105882
1,71,01071,Jackson County,51626
1,73,01073,Jefferson County,658573
1,75,01075,Lamar County,13805
1,77,01077,Lauderdale County,92729
1,79,01079,Lawrence County,32924
1,81,01081,Lee County,164542
1,83,01083,Limestone County,98915
1,85,01085,Lowndes County,9726
1,87,01087,Macon County,18068
1,89,01089,Madison County,372909
1,91,01091,Marengo County,18863
1,93,01093,Marion County,29709
1,95,01095,Marshall County,96774
1,97,01097,Mobile County,413210
1,99,01099,Monroe County,20733
1,101,01101,Montgomery County,226486
1,103,01103,Morgan County,119679
1,105,01105,Perry County,8923
1,107,01107,Pickens County,19930
1,109,01109,Pike County,33114
1,111,01111,Randolph County,22722
1,113,01113,Russell County,57961
1,115,01115,St. Clair County,89512
1,117,01117,Shelby County,217702
1,119,01119,Sumter County,12427
1,121,01121,Talladega County,79978
1,123,01123,Tallapoosa County,40367
1,125,01125,Tuscaloosa County,209355
1,127,01127,Walker County,63521
1,129,01129,Washington County,16326
1,131,01131,Wilcox County,10373
1,133,01133,Winston County,23629
2,0,02000,Alaska,731545
2,13,02013,Aleutians East Borough,3337
2,16,02016,Aleutians West Census Area,5634
2,20,02020,Anchorage Municipality,288000
2,50,02050,Bethel Census Area,18386
2,60,02060,Bristol Bay Borough,836
2,68,02068,Denali Borough,2097
2,70,02070,Dillingham Census Area,4916
2,90,02090,Fairbanks North Star Borough,96849
2,100,02100,Haines Borough,2530
2,105,02105,Hoonah-Angoon Census Area,2148
2,110,02110,Juneau City and Borough,31974
2,122,02122,Kenai Peninsula Borough,58708
2,130,02130,Ketchikan Gateway Borough,13901
2,150,02150,Kodiak Island Borough,12998
2,158,02158,Kusilvak Census Area,8314
2,164,02164,Lake and Peninsula Borough,1592
2,170,02170,Matanuska-Susitna Borough,108317
2,180,02180,Nome Census Area,10004
2,185,02185,North Slope Borough,9832
2,188,02188,Northwest Arctic Borough,7621
2,195,02195,Petersburg Borough,3266
2,198,02198,Prince of Wales-Hyder Census Area,6203
2,220,02220,Sitka City and Borough,8493
2,230,02230,Skagway Municipality,1183
2,240,02240,Southeast Fairbanks Census Area,6893
2,261,02261,Valdez-Cordova Census Area,9202
2,275,02275,Wrangell City and Borough,2502
2,282,02282,Yakutat City and Borough,579
2,290,02290,Yukon-Koyukuk Census Area,5230
4,0,04000,Arizona,7278717
4,1,04001,Apache County,71887
4,3,04003,Cochise County,125922
4,5,04005,Coconino County,143476
4,7,04007,Gila County,54018
4,9,04009,Graham County,38837
4,11,04011,Greenlee County,9498
4,12,04012,La Paz County,21108
4,13,04013,Maricopa County,4485414
4,15,04015,Mohave County,212181
4,17,04017,Navajo County,110924
4,19,04019,Pima County,1047279
4,21,04021,Pinal County,462789
4,23,04023,Santa Cruz County,46498
4,25,04025,Yavapai County,235099
4,27,04027,Yuma County,213787
5,0,05000,Arkansas,3017804
5,1,05001,Arkansas County,17486
5,3,05003,Ashley County,19657
5,5,05005,Baxter County,41932
5,7,05007,Benton County,279141
5,9,05009,Boone County,37432
5,11,05011,Bradley County,10763
5,13,05013,Calhoun County,5189
5,15,05015,Carroll County,28380
5,17,05017,Chicot County,10118
5,19,05019,Clark County,22320
5,21,05021,Clay County,14551
5,23,05023,Cleburne County,24919
5,25,05025,Cleveland County,7956
5,27,05027,Columbia County,23457
5,29,05029,Conway County,20846
5,31,05031,Craighead County,110332
5,33,05033,Crawford County,63257
5,35,05035,Crittenden County,47955
5,37,05037,Cross County,16419
5,39,05039,Dallas County,7009
5,41,05041,Desha County,11361
5,43,05043,Drew County,18219
5,45,05045,Faulkner County,126007
5,47,05047,Franklin County,17715
5,49,05049,Fulton County,12477
5,51,05051,Garland County,99386
5,53,05053,Grant County,18265
5,55,05055,Greene County,45325
5,57,05057,Hempstead County,21532
5,59,05059,Hot Spring County,33771
5,61,05061,Howard County,13202
5,63,05063,Independence County,37825
5,65,05065,Izard County,13629
5,67,05067,Jackson County,16719
5,69,05069,Jefferson County,66824
5,71,05071,Johnson County,26578
5,73,05073,Lafayette County,6624
5,75,05075,Lawrence County,16406
5,77,05077,Lee County,8857
5,79,05079,Lincoln County,13024
5,81,05081,Little River County,12259
5,83,05083,Logan County,21466
5,85,05085,Lonoke County,73309
5,87,05087,Madison County,16576
5,89,05089,Marion County,16694
5,91,05091,Miller County,43257
5,93,05093,Mississippi County,40651
5,95,05095,Monroe County,6701
5,97,05097,Montgomery County,8986
5,99,05099,Nevada County,8252
5,101,05101,Newton County,7753
5,103,05103,Ouachita County,23382
5,105,05105,Perry County,10455
5,107,05107,Phillips County,17782
5,109,05109,Pike County,10718
5,111,05111,Poinsett County,23528
5,113,05113,Polk County,19964
5,115,05115,Pope County,64072
5,117,05117,Prairie County,8062
5,119,05119,Pulaski County,391911
5,121,05121,Randolph County,17958
5,123,05123,St. Francis County,24994
5,125,05125,Saline County,122437
5,127,05127,Scott County,10281
5,129,05129,Searcy County,7881
5,131,05131,Sebastian County,127827
5,133,05133,Sevier County,17007
5,135,05135,Sharp County,17442
5,137,05137,Stone County,12506
5,139,05139,Union County,38682
5,141,05141,Van Buren County,16545
5,143,05143,Washington County,239187
5,145,05145,White County,78753
5,147,05147,Woodruff County,6320
5,149,05149,Yell County,21341
6,0,06000,California,39512223
6,1,06001,Alameda County,1671329
6,3,06003,Alpine County,1129
6,5,06005,Amador County,39752
6,7,06007,Butte County,219186
6,9,06009,Calaveras County,45905
6,11,06011,Colusa County,21547
6,13,06013,Contra Costa County,1153526
6,15,06015,Del Norte County,27812
6,17,06017,El Dorado County,192843
6,19,06019,Fresno County,999101
6,21,06021,Glenn County,28393
6,23,06023,Humboldt County,135558
6,25,06025,Imperial County,181215
6,27,06027,Inyo County,18039
6,29,06029,Kern County,900202
6,31,06031,Kings County,152940
6,33,06033,Lake County,64386
6,35,06035,Lassen County,30573
6,37,06037,Los Angeles County,10039107
6,39,06039,Madera County,157327
6,41,06041,Marin County,258826
6,43,06043,Mariposa County,17203
6,45,06045,Mendocino County,86749
6,47,06047,Merced County,277680
6,49,06049,Modoc County,8841
6,51,06051,Mono County,14444
6,53,06053,Monterey County,434061
6,55,06055,Napa County,137744
6,57,06057,Nevada County,99755
6,59,06059,Orange County,3175692
6,61,06061,Placer County,398329
6,63,06063,Plumas County,18807
6,65,06065,Riverside County,2470546
6,67,06067,Sacramento County,1552058
6,69,06069,San Benito County,62808
6,71,06071,San Bernardino County,2180085
6,73,06073,San Diego County,3338330
6,75,06075,San Francisco County,881549
6,77,06077,San Joaquin County,762148
6,79,06079,San Luis Obispo County,283111
6,81,06081,San Mateo County,766573
6,83,06083,Santa Barbara County,446499
6,85,06085,Santa Clara County,1927852
6,87,06087,Santa Cruz County,273213
6,89,06089,Shasta County,180080
6,91,06091,Sierra County,3005
6,93,06093,Siskiyou County,43539
6,95,06095,Solano County,447643
6,97,06097,Sonoma County,494336
6,99,06099,Stanislaus County,550660
